0,動詞
93,しるし%2C（試験の）点数／…の印となる,mark
94,市場,market
95,塊%2C集団%2C大衆,mass
96,材料%2C原料／物質（的）な,material
97,食事,meal
98,措置%2C測るもの／…を測る,measure
99,方法,method
100,百万,million
101,アタマ%2C思考／…を嫌がる,mind
102,誤り／…を〜と間違える,mistake
103,瞬間%2C時,moment
104,大半／最も…,most
105,動き%2C（政治的・社会的）運動,movement
106,国家%2C民族%2C国民,nation
107,自然%2C性質,nature
108,メモ／…に注目［注意］する,note
109,物体%2C対象%2C目的／反対する,object
110,会社%2C仕事部屋%2C公職の地位,office
111,意見,opinion
112,機会,opportunity
113,命令%2C秩序／…に命じる%2C…を注文する,order
114,新聞%2C書類%2Cレポート%2C論文,paper
115,政党%2C当事者,party
116,期間%2C時代,period
117,電話／…に電話をかける,phone
118,場所／…を置く,place
119,植物,plant
120,楽しみ%2C喜び,pleasure
121,政策%2C方針,policy
122,人口%2C国民,population
123,位置%2C立場%2C地位,position
124,力%2C権力%2C大国,power
125,練習%2C慣習%2C実行,practice
126,社長%2C大統領%2C学長,president
127,値段,price
128,原理・原則%2C主義,principle
129,問題,problem
130,過程／…を加工処理する,process
131,製品%2C産物,product
132,生産%2C製造,production
133,進歩,progress
134,目的,purpose
135,質,quality
136,範囲／範囲が及ぶ,range
137,率%2C割合,rate
138,現実,reality
139,理由%2C理性,reason
140,関係,relation
141,関係,relationship
142,研究%2C調査,research
143,尊敬%2C尊重%2C点／…を尊敬する,respect
144,反応%2C返答,response
145,休憩%2Cその他／休憩する,rest
146,結果,result
147,科学,science
148,感覚%2C意味,sense
149,形／…を形作る,shape
150,側面%2C側,side
151,兆候／…に署名をする,sign
152,状況%2C情勢,situation
153,技能,skill
154,社会,society
155,種類,sort
156,（動植物の）種,species
157,話%2Cスピーチ%2C演説,speech
158,段階%2C舞台,stage
159,標準%2C基準,standard
160,状態%2C国家%2C州,state
161,措置%2C歩み,step
162,見知らぬ人%2C（ある場所に）初めて来た人,stranger
163,強調%2C重圧／…を強調する,stress
164,構造,structure
165,話題%2C主題,subject
166,成功%2C成功したもの［人］,success
167,供給／…に供給する,supply
168,表面,surface
169,体制%2C体系%2C組織,system
170,仕事%2C作業,task
171,味／…な味がする,taste
172,テクノロジー%2C科学技術,technology
173,温度%2C体温,temperature
174,期間%2C学期%2C用語%2C条件%2C間柄,term
175,理論,theory
176,貿易%2C…を交換する,trade
177,交通%2C往来／交通の,traffic
178,真実,truth
179,宇宙,universe
180,大学,university
181,価値／…を重んじる,value
182,多様,variety
183,眺め%2C見方／…を見る%2C…を〜と見なす,view
184,戦争,war
185,気候%2C天気,weather
186,重さ%2C体重,weight
0,形容詞
1,心配して%2C怖がって,afraid
2,古代の%2C大昔の,ancient
3,利用できる%2C人の手があいている,available
4,平均の／平均,average
5,気づいている,aware
6,基本的な%2C基礎的な,basic
7,ある…%2C確信している,certain
8,近い%2C親密な,close
9,一般的な%2C共通の,common
10,完全な,complete
11,複雑な,complex
12,関わっている%2C心配している,concerned
13,正確な／…を訂正する,correct
14,直接の,direct
15,服を身につけた,dressed
16,行われる［到着する］予定である,due
17,経済の%2C経済的な,economic
18,環境の,environmental
19,等しい／…に等しい,equal
20,不可欠な,essential
21,値段が高い,expensive
22,馴染みのある,familiar
23,有名な,famous
24,外国の,foreign
25,束縛のない%2C無料の%2C暇な,free
26,いっぱいの%2C満腹である,full
27,一般的な%2C全般的な,general
28,健康（的）な,healthy
29,重い%2C大量の,heavy
30,巨大な,huge
31,人間の／人間,human
32,不可能な%2Cだめな,impossible
33,個人の%2C個々の／個人,individual
34,産業の%2C工業の,industrial
35,国際的な,international
36,可能性が高い,likely
37,地元の,local
38,主な%2C大きな／専攻する,major
39,結婚した%2C既婚の,married
40,医学の%2C医療の,medical
41,精神の%2C知的な,mental
42,現代の%2C近代の,modern
43,国の%2C国立の,national
44,生まれ故郷の%2C生来の,native
45,当然の%2C自然の,natural
46,必要な,necessary
47,明白な,obvious
48,普通の,ordinary
49,当初の／原文,original
50,自身の／…を所有している,own
51,特定の%2C特にその%2C気むずかしい,particular
52,過去の／過去,past
53,個人的な%2C個人の,personal
54,身体の%2C物理的な,physical
55,政治の%2C政治的な,political
56,人気のある%2C大衆の,popular
57,可能な,possible
58,実用的な%2C実際的な,practical
59,出席している%2C現在の,present
60,個人的な%2C私的な,private
61,専門職の／専門職の人,professional
62,公共の／大衆,public
63,最近の,recent
64,関係している%2C関連した,related
65,正しい／権利,right
66,丸い,round
67,科学の,scientific
68,分離した／…を切り離す,separate
69,真剣な%2C深刻な,serious
70,よく似た,similar
71,一つの%2C一人の%2C独身の,single
72,社会の%2C社交の,social
73,特別な,special
74,奇妙な%2C見知らぬ,strange
75,確信して%2C確実な,sure
76,厚い,thick
77,伝統的な,traditional
78,役に立つ,useful
79,さまざまな,various
80,非常に大きな,vast
81,…の全て%2C全体の,whole
82,間違った,wrong
0,副詞
1,外国で%2C外国へ,abroad
2,実際に%2C現実に,actually
3,ひどく%2C悪く,badly
4,特に,especially
5,最終的には,eventually
6,正確［厳密］に%2Cちょうど,exactly
7,極端に,extremely
8,前方へ,forward
9,頻繁に,frequently
10,一般的に,generally
11,とても%2C高く,highly
12,しかしながら,however
13,即座に,immediately
14,確かに,indeed
15,後に%2C…後,later
16,たぶん%2C五分五分で,maybe
17,単に,merely
18,当然%2C自然に,naturally
19,さもなければ%2Cそれとは違うように,otherwise
20,特に,particularly
21,かなり,pretty
22,おそらく,probably
23,かなり%2C全く,quite
24,最近,recently
25,単に,simply
26,それゆえ,therefore
0,前置詞・接続詞
1,…だけれども,although
2,…でない限り（原則として）,unless
3,…である一方で%2C…している間に,while
4,…を除いて,except
5,…に向かって,toward
6,…の価値がある,worth
7,…の背後に／背後に,behind
